r@56,|2024-04-15 18:30:34.373572
s@57|2024-04-15 18:30:34.475853
r@57,|2024-04-15 18:30:34.496329
s@58|2024-04-15 18:30:35.050135
r@58,|2024-04-15 18:30:35.072652
s@59|2024-04-15 18:30:35.814109
r@59,|2024-04-15 18:30:35.835174
s@60|2024-04-15 18:30:36.251186
s@61|2024-04-15 18:30:36.536210
r@61,|2024-04-15 18:30:36.557341
s@62|2024-04-15 18:30:36.902843
r@62,|2024-04-15 18:30:36.926324
s@63|2024-04-15 18:30:37.514266
r@63,|2024-04-15 18:30:37.533591
s@64|2024-04-15 18:30:38.023720
r@64,|2024-04-15 18:30:38.040828
s@65|2024-04-15 18:30:38.495979
r@65,|2024-04-15 18:30:38.517814
s@66|2024-04-15 18:30:39.239749
r@66,|2024-04-15 18:30:39.258813
s@67|2024-04-15 18:30:39.987899
r@67,|2024-04-15 18:30:40.005960
s@68|2024-04-15 18:30:40.489906
r@68,|2024-04-15 18:30:40.506692
s@69|2024-04-15 18:30:41.287884
r@69,|2024-04-15 18:30:41.309274
s@70|2024-04-15 18:30:41.807967
r@70,|2024-04-15 18:30:41.828550
s@71|2024-04-15 18:30:42.324480
s@72|2024-04-15 18:30:42.849800
r@72,|2024-04-15 18:30:42.871265
s@73|2024-04-15 18:30:43.384821
r@73,|2024-04-15 18:30:43.404561
s@74|2024-04-15 18:30:44.244856
s@75|2024-04-15 18:30:44.795200
r@75,|2024-04-15 18:30:44.813390
s@76|2024-04-15 18:30:45.394632
s@77|2024-04-15 18:30:45.939824
r@77,|2024-04-15 18:30:45.960801
s@78|2024-04-15 18:30:46.109463
r@78,|2024-04-15 18:30:46.128611
s@79|2024-04-15 18:30:47.052319
r@79,|2024-04-15 18:30:47.075327
s@80|2024-04-15 18:30:47.409742
s@81|2024-04-15 18:30:47.744196
s@82|2024-04-15 18:30:48.499876
r@82,|2024-04-15 18:30:48.520589
s@83|2024-04-15 18:30:48.883949
s@84|2024-04-15 18:30:49.251296
r@84,|2024-04-15 18:30:49.268210
s@85|2024-04-15 18:30:49.654119
s@86|2024-04-15 18:30:50.162814
r@86,|2024-04-15 18:30:50.180879
s@87|2024-04-15 18:30:50.324956
r@87,|2024-04-15 18:30:50.347623
s@88|2024-04-15 18:30:50.800456
s@89|2024-04-15 18:30:51.109474
r@89,|2024-04-15 18:30:51.131437
s@90|2024-04-15 18:30:51.848870
r@90,|2024-04-15 18:30:51.868469
s@91|2024-04-15 18:30:52.317300
r@91,|2024-04-15 18:30:52.337392
s@92|2024-04-15 18:30:52.565605
r@92,|2024-04-15 18:30:52.583849
s@93|2024-04-15 18:30:52.715329
r@93,|2024-04-15 18:30:52.734534
s@94|2024-04-15 18:30:53.074669
r@94,|2024-04-15 18:30:53.098871
s@95|2024-04-15 18:30:53.952506
r@95,|2024-04-15 18:30:53.968961
s@96|2024-04-15 18:30:54.757274
r@96,|2024-04-15 18:30:54.774735
s@97|2024-04-15 18:30:54.968064
r@97,|2024-04-15 18:30:54.987155
s@98|2024-04-15 18:30:55.784975
s@99|2024-04-15 18:30:56.151004
r@99,|2024-04-15 18:30:56.171892
s@100|2024-04-15 18:30:56.712435
r@100,|2024-04-15 18:30:56.732532
s@101|2024-04-15 18:30:57.423590
r@101,|2024-04-15 18:30:57.442187
s@102|2024-04-15 18:30:57.831218
s@103|2024-04-15 18:30:58.518171
r@103,|2024-04-15 18:30:58.537100
s@104|2024-04-15 18:30:58.817555
r@104,|2024-04-15 18:30:58.833092
s@105|2024-04-15 18:30:59.169629
r@105,|2024-04-15 18:30:59.189625
s@106|2024-04-15 18:30:59.664808
r@106,|2024-04-15 18:30:59.687440
s@107|2024-04-15 18:31:00.079631
r@107,|2024-04-15 18:31:00.096828
s@108|2024-04-15 18:31:00.565584
s@109|2024-04-15 18:31:01.168355
r@109,|2024-04-15 18:31:01.187128
s@110|2024-04-15 18:31:01.816035
r@110,|2024-04-15 18:31:01.837150
s@111|2024-04-15 18:31:02.353797
r@111,|2024-04-15 18:31:02.373467
s@112|2024-04-15 18:31:03.176115
r@112,|2024-04-15 18:31:03.190166
s@113|2024-04-15 18:31:03.558032
r@113,|2024-04-15 18:31:03.583358
s@114|2024-04-15 18:31:04.346838
s@115|2024-04-15 18:31:05.019276
r@115,|2024-04-15 18:31:05.035441
s@116|2024-04-15 18:31:05.343799
r@116,|2024-04-15 18:31:05.360396
s@117|2024-04-15 18:31:05.628926
s@118|2024-04-15 18:31:06.032947
r@118,|2024-04-15 18:31:06.052395
s@119|2024-04-15 18:31:06.189051
